V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
130.1341553,156.1054688,146.1347046,250.5897827,249.2873383,247.2208557,0.437875867,0.37523818,0.288610518,56.98260498,58.57673264,42.17601395,19.23588943,5.390470028,14.9497776,46.52354431,50.94675827,36.99289703,0.33757475,0.09202408,0.35446161,5.903641701,5.394983292,4.581548214
130.1341553,156.1054688,146.1347046,250.5897827,249.2873383,247.2208557,0.437875867,0.37523818,0.288610518,56.98260498,58.57673264,42.17601395,19.23588943,5.390470028,14.9497776,46.52354431,50.94675827,36.99289703,0.33757475,0.09202408,0.35446161,5.903641701,5.394983292,4.581548214
130.1341553,156.1054688,146.1347046,250.5897827,249.2873383,247.2208557,0.437875867,0.37523818,0.288610518,56.98260498,58.57673264,42.17601395,19.23588943,5.390470028,14.9497776,46.52354431,50.94675827,36.99289703,0.33757475,0.09202408,0.35446161,5.903641701,5.394983292,4.581548214
130.1341553,156.1054688,146.1347046,250.5897827,249.2873383,247.2208557,0.437875867,0.37523818,0.288610518,56.98260498,58.57673264,42.17601395,19.23588943,5.390470028,14.9497776,46.52354431,50.94675827,36.99289703,0.33757475,0.09202408,0.35446161,5.903641701,5.394983292,4.581548214
130.1341553,156.1054688,146.1347046,250.5897827,249.2873383,247.2208557,0.437875867,0.37523818,0.288610518,56.98260498,58.57673264,42.17601395,19.23588943,5.390470028,14.9497776,46.52354431,50.94675827,36.99289703,0.33757475,0.09202408,0.35446161,5.903641701,5.394983292,4.581548214
130.1341553,156.1054688,146.1347046,250.5897827,249.2873383,247.2208557,0.437875867,0.37523818,0.288610518,56.98260498,58.57673264,42.17601395,19.23588943,5.390470028,14.9497776,46.52354431,50.94675827,36.99289703,0.33757475,0.09202408,0.35446161,5.903641701,5.394983292,4.581548214
130.2247162,156.0206604,146.1604614,250.5718231,249.2845764,247.2966156,0.435039103,0.368975967,0.293764323,56.65284348,57.56787491,42.93672943,18.38188171,5.842284203,14.85178661,46.22160339,50.19621277,37.6931572,0.324465305,0.101485148,0.345899343,5.856084347,5.454030514,4.640470982
130.2247162,156.0206604,146.1604614,250.5718231,249.2845764,247.2966156,0.435039103,0.368975967,0.293764323,56.65284348,57.56787491,42.93672943,18.38188171,5.842284203,14.85178661,46.22160339,50.19621277,37.6931572,0.324465305,0.101485148,0.345899343,5.856084347,5.454030514,4.640470982
130.2247162,156.0206604,146.1604614,250.5718231,249.2845764,247.2966156,0.435039103,0.368975967,0.293764323,56.65284348,57.56787491,42.93672943,18.38188171,5.842284203,14.85178661,46.22160339,50.19621277,37.6931572,0.324465305,0.101485148,0.345899343,5.856084347,5.454030514,4.640470982
130.2247162,156.0206604,146.1604614,250.5718231,249.2845764,247.2966156,0.435039103,0.368975967,0.293764323,56.65284348,57.56787491,42.93672943,18.38188171,5.842284203,14.85178661,46.22160339,50.19621277,37.6931572,0.324465305,0.101485148,0.345899343,5.856084347,5.454030514,4.640470982
130.2247162,156.0206604,146.1604614,250.5718231,249.2845764,247.2966156,0.435039103,0.368975967,0.293764323,56.65284348,57.56787491,42.93672943,18.38188171,5.842284203,14.85178661,46.22160339,50.19621277,37.6931572,0.324465305,0.101485148,0.345899343,5.856084347,5.454030514,4.640470982
130.2247162,156.0206604,146.1604614,250.5718231,249.2845764,247.2966156,0.435039103,0.368975967,0.293764323,56.65284348,57.56787491,42.93672943,18.38188171,5.842284203,14.85178661,46.22160339,50.19621277,37.6931572,0.324465305,0.101485148,0.345899343,5.856084347,5.454030514,4.640470982
130.2247162,156.0206604,146.1604614,250.5718231,249.2845764,247.2966156,0.435039103,0.368975967,0.293764323,56.65284348,57.56787491,42.93672943,18.38188171,5.842284203,14.85178661,46.22160339,50.19621277,37.6931572,0.324465305,0.101485148,0.345899343,5.856084347,5.454030514,4.640470982
130.2247162,156.0206604,146.1604614,250.5718231,249.2845764,247.2966156,0.435039103,0.368975967,0.293764323,56.65284348,57.56787491,42.93672943,18.38188171,5.842284203,14.85178661,46.22160339,50.19621277,37.6931572,0.324465305,0.101485148,0.345899343,5.856084347,5.454030514,4.640470982
130.2247162,156.0206604,146.1604614,250.5718231,249.2845764,247.2966156,0.435039103,0.368975967,0.293764323,56.65284348,57.56787491,42.93672943,18.38188171,5.842284203,14.85178661,46.22160339,50.19621277,37.6931572,0.324465305,0.101485148,0.345899343,5.856084347,5.454030514,4.640470982
130.2247162,156.0206604,146.1604614,250.5718231,249.2845764,247.2966156,0.435039103,0.368975967,0.293764323,56.65284348,57.56787491,42.93672943,18.38188171,5.842284203,14.85178661,46.22160339,50.19621277,37.6931572,0.324465305,0.101485148,0.345899343,5.856084347,5.454030514,4.640470982
130.1608429,156.0596619,146.1092987,250.5865936,249.1741486,247.2466431,0.432447106,0.367929757,0.29452014,56.28768158,57.4189949,43.0321312,18.36842918,6.571793079,14.80674267,45.76124954,50.01605988,37.90446091,0.326331258,0.114453293,0.344085753,5.876117229,5.393209457,4.543358326
130.1608429,156.0596619,146.1092987,250.5865936,249.1741486,247.2466431,0.432447106,0.367929757,0.29452014,56.28768158,57.4189949,43.0321312,18.36842918,6.571793079,14.80674267,45.76124954,50.01605988,37.90446091,0.326331258,0.114453293,0.344085753,5.876117229,5.393209457,4.543358326
130.1608429,156.0596619,146.1092987,250.5865936,249.1741486,247.2466431,0.432447106,0.367929757,0.29452014,56.28768158,57.4189949,43.0321312,18.36842918,6.571793079,14.80674267,45.76124954,50.01605988,37.90446091,0.326331258,0.114453293,0.344085753,5.876117229,5.393209457,4.543358326
130.1608429,156.0596619,146.1092987,250.5865936,249.1741486,247.2466431,0.432447106,0.367929757,0.29452014,56.28768158,57.4189949,43.0321312,18.36842918,6.571793079,14.80674267,45.76124954,50.01605988,37.90446091,0.326331258,0.114453293,0.344085753,5.876117229,5.393209457,4.543358326
130.1608429,156.0596619,146.1092987,250.5865936,249.1741486,247.2466431,0.432447106,0.367929757,0.29452014,56.28768158,57.4189949,43.0321312,18.36842918,6.571793079,14.80674267,45.76124954,50.01605988,37.90446091,0.326331258,0.114453293,0.344085753,5.876117229,5.393209457,4.543358326
130.1608429,156.0596619,146.1092987,250.5865936,249.1741486,247.2466431,0.432447106,0.367929757,0.29452014,56.28768158,57.4189949,43.0321312,18.36842918,6.571793079,14.80674267,45.76124954,50.01605988,37.90446091,0.326331258,0.114453293,0.344085753,5.876117229,5.393209457,4.543358326
130.1608429,156.0596619,146.1092987,250.5865936,249.1741486,247.2466431,0.432447106,0.367929757,0.29452014,56.28768158,57.4189949,43.0321312,18.36842918,6.571793079,14.80674267,45.76124954,50.01605988,37.90446091,0.326331258,0.114453293,0.344085753,5.876117229,5.393209457,4.543358326
130.1608429,156.0596619,146.1092987,250.5865936,249.1741486,247.2466431,0.432447106,0.367929757,0.29452014,56.28768158,57.4189949,43.0321312,18.36842918,6.571793079,14.80674267,45.76124954,50.01605988,37.90446091,0.326331258,0.114453293,0.344085753,5.876117229,5.393209457,4.543358326
130.1608429,156.0596619,146.1092987,250.5865936,249.1741486,247.2466431,0.432447106,0.367929757,0.29452014,56.28768158,57.4189949,43.0321312,18.36842918,6.571793079,14.80674267,45.76124954,50.01605988,37.90446091,0.326331258,0.114453293,0.344085753,5.876117229,5.393209457,4.543358326
130.1608429,156.0596619,146.1092987,250.5865936,249.1741486,247.2466431,0.432447106,0.367929757,0.29452014,56.28768158,57.4189949,43.0321312,18.36842918,6.571793079,14.80674267,45.76124954,50.01605988,37.90446091,0.326331258,0.114453293,0.344085753,5.876117229,5.393209457,4.543358326
130.2518158,155.968277,146.1312256,250.5821381,249.1483154,247.3133698,0.429051042,0.360277355,0.293712378,55.88467789,56.19183731,42.9205513,17.83386803,6.013628006,15.17217445,45.85874939,49.02673721,37.64128113,0.319119096,0.107019603,0.353494406,5.825795174,5.407048225,4.657094955
130.2518158,155.968277,146.1312256,250.5821381,249.1483154,247.3133698,0.429051042,0.360277355,0.293712378,55.88467789,56.19183731,42.9205513,17.83386803,6.013628006,15.17217445,45.85874939,49.02673721,37.64128113,0.319119096,0.107019603,0.353494406,5.825795174,5.407048225,4.657094955
130.2518158,155.968277,146.1312256,250.5821381,249.1483154,247.3133698,0.429051042,0.360277355,0.293712378,55.88467789,56.19183731,42.9205513,17.83386803,6.013628006,15.17217445,45.85874939,49.02673721,37.64128113,0.319119096,0.107019603,0.353494406,5.825795174,5.407048225,4.657094955
130.2518158,155.968277,146.1312256,250.5821381,249.1483154,247.3133698,0.429051042,0.360277355,0.293712378,55.88467789,56.19183731,42.9205513,17.83386803,6.013628006,15.17217445,45.85874939,49.02673721,37.64128113,0.319119096,0.107019603,0.353494406,5.825795174,5.407048225,4.657094955
130.2518158,155.968277,146.1312256,250.5821381,249.1483154,247.3133698,0.429051042,0.360277355,0.293712378,55.88467789,56.19183731,42.9205513,17.83386803,6.013628006,15.17217445,45.85874939,49.02673721,37.64128113,0.319119096,0.107019603,0.353494406,5.825795174,5.407048225,4.657094955
130.2518158,155.968277,146.1312256,250.5821381,249.1483154,247.3133698,0.429051042,0.360277355,0.293712378,55.88467789,56.19183731,42.9205513,17.83386803,6.013628006,15.17217445,45.85874939,49.02673721,37.64128113,0.319119096,0.107019603,0.353494406,5.825795174,5.407048225,4.657094955
