class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0,0.9989260741373304,0.9995282566692878,0.9986946739770666,0.9992577728355775,0.9993988588207041,0.9986357789191876,0.956145346,0.922546089,0.976741791,5.6407938,5.446819782,4.543043137
0,0.9989260741373304,0.9995282566692878,0.9986946739770666,0.9992577728355775,0.9993988588207041,0.9986357789191876,0.956145346,0.922546089,0.976741791,5.6407938,5.446819782,4.543043137
0,0.9984642215949738,0.999472946696216,0.9983537473117904,0.999193533513969,0.9989947490696108,0.9982325369291443,0.961863279,0.93103081,0.979606628,5.665080547,5.451933861,4.614695072
0,0.9984642215949738,0.999472946696216,0.9983537473117904,0.999193533513969,0.9989947490696108,0.9982325369291443,0.961863279,0.93103081,0.979606628,5.665080547,5.451933861,4.614695072
0,0.9984642215949738,0.999472946696216,0.9983537473117904,0.999193533513969,0.9989947490696108,0.9982325369291443,0.961863279,0.93103081,0.979606628,5.665080547,5.451933861,4.614695072
0,0.9984642215949738,0.999472946696216,0.9983537473117904,0.999193533513969,0.9989947490696108,0.9982325369291443,0.961863279,0.93103081,0.979606628,5.665080547,5.451933861,4.614695072
0,0.9983924838104977,0.9994108563735358,0.9979341263954071,0.9990528875371002,0.9989660402611351,0.9979012566263713,0.958612382,0.923474073,0.976768434,5.860826969,5.558680534,4.658890247
0,0.9983924838104977,0.9994108563735358,0.9979341263954071,0.9990528875371002,0.9989660402611351,0.9979012566263713,0.958612382,0.923474073,0.976768434,5.860826969,5.558680534,4.658890247
0,0.9983924838104977,0.9994108563735358,0.9979341263954071,0.9990528875371002,0.9989660402611351,0.9979012566263713,0.958612382,0.923474073,0.976768434,5.860826969,5.558680534,4.658890247
0,0.9983924838104977,0.9994108563735358,0.9979341263954071,0.9990528875371002,0.9989660402611351,0.9979012566263713,0.958612382,0.923474073,0.976768434,5.860826969,5.558680534,4.658890247
0,0.9985140976752657,0.9996551734640078,0.9980298029747622,0.9992908751549329,0.9993167373889263,0.9978485410225428,0.959809721,0.923914313,0.978891194,5.85380888,5.575651169,4.614973545
0,0.9985140976752657,0.9996551734640078,0.9980298029747622,0.9992908751549329,0.9993167373889263,0.9978485410225428,0.959809721,0.923914313,0.978891194,5.85380888,5.575651169,4.614973545
0,0.9985140976752657,0.9996551734640078,0.9980298029747622,0.9992908751549329,0.9993167373889263,0.9978485410225428,0.959809721,0.923914313,0.978891194,5.85380888,5.575651169,4.614973545
0,0.9985140976752657,0.9996551734640078,0.9980298029747622,0.9992908751549329,0.9993167373889263,0.9978485410225428,0.959809721,0.923914313,0.978891194,5.85380888,5.575651169,4.614973545
0,0.9982853948752007,0.9997547318832549,0.9983452889061393,0.9993019845457091,0.9993274655632857,0.9979929958254874,0.960430026,0.929715812,0.977158606,5.865555286,5.62904644,4.62638092
0,0.9982853948752007,0.9997547318832549,0.9983452889061393,0.9993019845457091,0.9993274655632857,0.9979929958254874,0.960430026,0.929715812,0.977158606,5.865555286,5.62904644,4.62638092
0,0.9982853948752007,0.9997547318832549,0.9983452889061393,0.9993019845457091,0.9993274655632857,0.9979929958254874,0.960430026,0.929715812,0.977158606,5.865555286,5.62904644,4.62638092
0,0.9982853948752007,0.9997547318832549,0.9983452889061393,0.9993019845457091,0.9993274655632857,0.9979929958254874,0.960430026,0.929715812,0.977158606,5.865555286,5.62904644,4.62638092
0,0.9985603417946606,0.9991408475421576,0.9982710792059527,0.998765549558699,0.9987693871015872,0.9984835645636146,0.958254457,0.923488677,0.978996813,5.657120228,5.508900642,4.507694244
0,0.9985603417946606,0.9991408475421576,0.9982710792059527,0.998765549558699,0.9987693871015872,0.9984835645636146,0.958254457,0.923488677,0.978996813,5.657120228,5.508900642,4.507694244
0,0.9985603417946606,0.9991408475421576,0.9982710792059527,0.998765549558699,0.9987693871015872,0.9984835645636146,0.958254457,0.923488677,0.978996813,5.657120228,5.508900642,4.507694244
0,0.9985603417946606,0.9991408475421576,0.9982710792059527,0.998765549558699,0.9987693871015872,0.9984835645636146,0.958254457,0.923488677,0.978996813,5.657120228,5.508900642,4.507694244
0,0.9983300090319358,0.9994541530139082,0.9979497622664297,0.9989432274985441,0.999093264288596,0.9979049841030821,0.958857,0.924971581,0.977376342,5.651821613,5.412613392,4.499387264
0,0.9983300090319358,0.9994541530139082,0.9979497622664297,0.9989432274985441,0.999093264288596,0.9979049841030821,0.958857,0.924971581,0.977376342,5.651821613,5.412613392,4.499387264
0,0.9983300090319358,0.9994541530139082,0.9979497622664297,0.9989432274985441,0.999093264288596,0.9979049841030821,0.958857,0.924971581,0.977376342,5.651821613,5.412613392,4.499387264
0,0.9983300090319358,0.9994541530139082,0.9979497622664297,0.9989432274985441,0.999093264288596,0.9979049841030821,0.958857,0.924971581,0.977376342,5.651821613,5.412613392,4.499387264
0,0.9975620829172768,1.0000636369096685,0.9982426902095081,0.9991029184283388,0.9997144259800941,0.9974945154843908,0.96274966,0.927505374,0.979334772,5.861405373,5.47998333,4.519384384
0,0.9975620829172768,1.0000636369096685,0.9982426902095081,0.9991029184283388,0.9997144259800941,0.9974945154843908,0.96274966,0.927505374,0.979334772,5.861405373,5.47998333,4.519384384
0,0.9975620829172768,1.0000636369096685,0.9982426902095081,0.9991029184283388,0.9997144259800941,0.9974945154843908,0.96274966,0.927505374,0.979334772,5.861405373,5.47998333,4.519384384
0,0.9975620829172768,1.0000636369096685,0.9982426902095081,0.9991029184283388,0.9997144259800941,0.9974945154843908,0.96274966,0.927505374,0.979334772,5.861405373,5.47998333,4.519384384
0,0.9982390759601415,1.0000890908940063,0.9982539692036573,0.9993227679721804,0.9998468625892264,0.9978027474481551,0.95959723,0.922056496,0.977730751,5.812149048,5.485635757,4.476850986
0,0.9982390759601415,1.0000890908940063,0.9982539692036573,0.9993227679721804,0.9998468625892264,0.9978027474481551,0.95959723,0.922056496,0.977730751,5.812149048,5.485635757,4.476850986
0,0.9982390759601415,1.0000890908940063,0.9982539692036573,0.9993227679721804,0.9998468625892264,0.9978027474481551,0.95959723,0.922056496,0.977730751,5.812149048,5.485635757,4.476850986
0,0.9986016950547038,1.0000559047542572,0.9987717672628141,0.999536948903564,1.0000558307700425,0.9981906991562411,0.958494663,0.923501968,0.977197886,5.780770302,5.481408119,4.569870472
0,0.9986016950547038,1.0000559047542572,0.9987717672628141,0.999536948903564,1.0000558307700425,0.9981906991562411,0.958494663,0.923501968,0.977197886,5.780770302,5.481408119,4.569870472
0,0.9986016950547038,1.0000559047542572,0.9987717672628141,0.999536948903564,1.0000558307700425,0.9981906991562411,0.958494663,0.923501968,0.977197886,5.780770302,5.481408119,4.569870472
0,0.9986016950547038,1.0000559047542572,0.9987717672628141,0.999536948903564,1.0000558307700425,0.9981906991562411,0.958494663,0.923501968,0.977197886,5.780770302,5.481408119,4.569870472
